route,case,block_dims,oracle,chunk,head,actual_dtype,categories,golden_max_abs,golden_max_in_FP32_min_normal_units,normal_subset_l2,normal_subset_budget,cpu_normal,cpu_subnormal_flushed_to_signed_zero,cpu_subnormal_actual_nonzero,cpu_subnormal_actual_nonzero_numerically_exact,cpu_zero_actual_nonzero,candidate_equals_old_npu_bitwise,candidate_old_max_ulp,numerical_acceptance
chunk,nearzero_c2_g4_rbf16_vbf16_flags010,1/2/3/4,independent,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.1480469776717109e-38,0.9766503572463989,,0.05,0,7749,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rbf16_vbf16_flags010,1/2/3/4,fla,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.1480478184507895e-38,0.9766510725021362,,0.05,0,7753,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rbf16_vbf16_flags011,1/2/3/4,independent,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.148046697412018e-38,0.9766501188278198,,0.05,0,7975,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rbf16_vbf16_flags011,1/2/3/4,fla,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.1480464171523252e-38,0.9766498804092407,,0.05,0,7978,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rf32_vbf16_flags010,1/2/3/4,independent,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.1416501903119145e-38,0.9712085723876953,,0.05,0,7750,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rf32_vbf16_flags010,1/2/3/4,fla,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.141650330441761e-38,0.9712086915969849,,0.05,0,7756,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rf32_vbf16_flags011,1/2/3/4,independent,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.1416490692731431e-38,0.9712076187133789,,0.05,0,7982,0,0,0,True,0,failed
chunk,nearzero_c2_g4_rf32_vbf16_flags011,1/2/3/4,fla,1,1,torch.bfloat16,CPU_subnormal_to_signed_zero,1.1416483686239109e-38,0.9712070226669312,,0.05,0,7977,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,independent,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.223342734068649e-37,27.421167373657227,0.18840924222990063,0.05,480,7376,33,0,0,False,1,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,independent,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.7265456583937977e-38,2.319488525390625,0.964615724949192,0.05,41,7735,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,independent,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.8490371457504896e-39,0.15729868412017822,,0.05,0,7722,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,independent,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.947744500111065e-41,0.00676119327545166,,0.05,0,7625,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,fla,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.2233431824841578e-37,27.421171188354492,0.18840924467599415,0.05,480,7335,33,0,0,False,1,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,fla,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.7265456583937977e-38,2.319488525390625,0.9646157372996639,0.05,41,7723,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,fla,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.8490315405566323e-39,0.15729820728302002,,0.05,0,7686,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags010,1/2/3/4,fla,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.94802475980393e-41,0.006761431694030762,,0.05,0,7588,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,independent,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.2233422856531406e-37,27.42116355895996,0.18840923743026367,0.05,480,7532,33,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,independent,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.7265462189131834e-38,2.319489002227783,0.9646157705515211,0.05,41,7942,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,independent,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.8490329418550967e-39,0.15729832649230957,,0.05,0,7922,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,independent,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.948865538882525e-41,0.006762146949768066,,0.05,0,7881,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,fla,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.2233422856531406e-37,27.42116355895996,0.1884092497723758,0.05,480,7520,33,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,fla,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.7265462189131834e-38,2.319489002227783,0.9646157563753635,0.05,41,7934,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,fla,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.849021731467382e-39,0.15729737281799316,,0.05,0,7898,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rbf16_vbf16_flags011,1/2/3/4,fla,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.949005668728957e-41,0.006762266159057617,,0.05,0,7903,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,independent,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.2322789825314643e-37,27.497188568115234,0.18630134359285963,0.05,482,7370,37,0,0,False,1,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,independent,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.7000594358599014e-38,2.2969565391540527,0.9618489791094483,0.05,35,7735,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,independent,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.843106850649467e-39,0.15679419040679932,,0.05,0,7720,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,independent,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.945922812107443e-41,0.0067596435546875,,0.05,0,7633,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,fla,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.2322792067392186e-37,27.497190475463867,0.1863013443718231,0.05,482,7338,37,0,0,False,1,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,fla,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.700060556898673e-38,2.296957492828369,0.9618490065345142,0.05,35,7729,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,fla,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.843106850649467e-39,0.15679419040679932,,0.05,0,7680,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags010,1/2/3/4,fla,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.946203071800308e-41,0.0067598819732666016,,0.05,0,7579,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags011,1/2/3/4,independent,1,1,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero;CPU_subnormal_to_nonzero_candidate,3.2322783099082014e-37,27.497182846069336,0.1863013437355842,0.05,482,7538,37,0,0,False,1,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags011,1/2/3/4,independent,1,2,torch.bfloat16,contains_CPU_FP32_normal;CPU_subnormal_to_signed_zero,2.70006027663898e-38,2.29695725440979,0.961849061261442,0.05,35,7942,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags011,1/2/3/4,independent,1,3,torch.bfloat16,CPU_subnormal_to_signed_zero,1.843102646754074e-39,0.15679383277893066,,0.05,0,7924,0,0,0,True,0,failed
chunk,nearzero_c2_g8_rf32_vbf16_flags011,1/2/3/4,independent,1,4,torch.bfloat16,CPU_subnormal_to_signed_zero,7.94690372103247e-41,0.0067604780197143555,,0.05,0,7880,0,0,0,True,0,failed
